1	22.0800000000000	11.4600000000000	2	4	4	1.58500000000000	0	0	0	1	2	100	1213	0
0	22.6700000000000	7	2	8	4	0.165000000000000	0	0	0	0	2	160	1	0
0	29.5800000000000	1.75000000000000	1	4	4	1.25000000000000	0	0	0	1	2	280	1	0
0	21.6700000000000	11.5000000000000	1	5	3	0	1	1	11	1	2	0	1	1
1	20.1700000000000	8.17000000000000	2	6	4	1.96000000000000	1	1	14	0	2	60	159	1
0	15.8300000000000	0.585000000000000	2	8	8	1.50000000000000	1	1	2	0	2	100	1	1
1	17.4200000000000	6.50000000000000	2	3	4	0.125000000000000	0	0	0	0	2	60	101	0
0	58.6700000000000	4.46000000000000	2	11	8	3.04000000000000	1	1	6	0	2	43	561	1
1	27.8300000000000	1	1	2	8	3	0	0	0	0	2	176	538	0
0	55.7500000000000	7.08000000000000	2	4	8	6.75000000000000	1	1	3	1	2	100	51	0
1	33.5000000000000	1.75000000000000	2	14	8	4.50000000000000	1	1	4	1	2	253	858	1
1	41.4200000000000	5	2	11	8	5	1	1	6	1	2	470	1	1
1	20.6700000000000	1.25000000000000	1	8	8	1.37500000000000	1	1	3	1	2	140	211	0
1	34.9200000000000	5	2	14	8	7.50000000000000	1	1	6	1	2	0	1001	1
1	58.5800000000000	2.71000000000000	2	8	4	2.41500000000000	0	0	0	1	2	320	1	0
1	48.0800000000000	6.04000000000000	2	4	4	0.0400000000000000	0	0	0	0	2	0	2691	1
1	29.5800000000000	4.50000000000000	2	9	4	7.50000000000000	1	1	2	1	2	330	1	1
0	18.9200000000000	9	2	6	4	0.750000000000000	1	1	2	0	2	88	592	1
1	20	1.25000000000000	1	4	4	0.125000000000000	0	0	0	0	2	140	5	0
0	22.4200000000000	5.66500000000000	2	11	4	2.58500000000000	1	1	7	0	2	129	3258	1
0	28.1700000000000	0.585000000000000	2	6	4	0.0400000000000000	0	0	0	0	2	260	1005	0
